City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Albany,42.6001,-73.9662,55.56,90,73,4.0,US,broken clouds
1,Pevek,69.7008,170.3133,31.14,92,100,9.17,RU,light snow
2,Bluff,-46.6,168.3333,45.81,63,96,23.15,NZ,overcast clouds
3,Rikitea,-23.1203,-134.9692,68.97,66,12,21.54,PF,few clouds
4,Butaritari,3.0707,172.7902,82.09,72,19,14.05,KI,few clouds
5,Mehamn,71.0357,27.8492,42.71,81,100,10.36,NO,overcast clouds
6,Acurenam,1.0322,10.6488,68.41,99,100,2.21,GQ,overcast clouds
7,Marawi,7.9986,124.2928,74.84,81,98,2.55,PH,overcast clouds
8,Yurla,59.3259,54.3223,41.94,76,99,6.76,RU,overcast clouds
9,Tiksi,71.6872,128.8694,21.74,83,97,15.86,RU,overcast clouds
10,Hilo,19.7297,-155.09,82.27,79,100,5.99,US,overcast clouds
11,Khatanga,71.9667,102.5,1.58,100,90,2.48,RU,overcast clouds
12,Jalu,29.0331,21.5482,73.71,43,6,13.22,LY,clear sky
13,Hobart,-42.8794,147.3294,55.26,72,75,12.66,AU,broken clouds
14,Vaini,-21.2,-175.2,76.12,85,100,10.02,TO,moderate rain
15,Ushuaia,-54.8,-68.3,46.06,66,40,3.44,AR,scattered clouds
16,Torbay,47.6666,-52.7314,52.27,86,20,4.0,CA,few clouds
17,Solnechnyy,50.7214,136.6319,36.59,39,4,11.59,RU,clear sky
18,Dingle,10.9995,122.6711,81.93,82,100,6.78,PH,overcast clouds
19,Atuona,-9.8,-139.0333,77.61,69,4,17.29,PF,clear sky
20,Kapaa,22.0752,-159.319,84.18,67,75,11.5,US,broken clouds
21,Shache,38.4167,77.2406,57.7,36,100,8.03,CN,overcast clouds
22,Salta,-24.7859,-65.4117,82.99,2,0,16.11,AR,clear sky
23,Cherskiy,68.75,161.3,27.72,95,100,10.22,RU,snow
24,Constanta,44.1833,28.65,48.88,58,98,7.18,RO,overcast clouds
25,Bembereke,10.2283,2.6634,71.11,94,98,4.34,BJ,light rain
26,Naze,28.3667,129.4833,75.74,71,42,9.86,JP,scattered clouds
27,Anadyr,64.75,177.4833,46.9,87,20,26.84,RU,light rain
28,Alofi,-19.0595,-169.9187,77.29,80,98,15.99,NU,overcast clouds
29,Kumbo,6.2,10.6667,58.41,93,96,2.28,CM,overcast clouds
30,Las Varas,21.1667,-105.1667,87.28,80,70,3.8,MX,broken clouds
31,Port Alfred,-33.5906,26.891,62.98,87,98,12.26,ZA,overcast clouds
32,Lagoa,39.05,-27.9833,69.08,84,100,16.44,PT,light rain
33,Kodiak,57.79,-152.4072,54.91,88,100,9.22,US,heavy intensity rain
34,Hovd,48.0056,91.6419,37.69,30,81,5.28,MN,broken clouds
35,Jumla,29.2747,82.1838,56.07,95,100,3.49,NP,overcast clouds
36,Cabo San Lucas,22.8909,-109.9124,87.1,65,0,11.5,MX,clear sky
37,Provideniya,64.3833,-173.3,39.36,100,100,35.99,RU,light shower sleet
38,Beisfjord,68.3751,17.5988,44.65,94,100,7.7,NO,light rain
39,Puerto Ayora,-0.7393,-90.3518,67.55,88,78,5.01,EC,broken clouds
40,Geraldton,-28.7667,114.6,57.61,67,40,8.05,AU,scattered clouds
41,Lebu,-37.6167,-73.65,52.11,85,100,8.16,CL,overcast clouds
42,Bambous Virieux,-20.3428,57.7575,70.05,83,40,9.22,MU,scattered clouds
43,Yining,29.0361,114.5636,57.54,85,100,2.59,CN,overcast clouds
44,Komsomolskiy,40.4272,71.7189,52.52,37,73,6.91,UZ,broken clouds
45,Sabha,27.0377,14.4283,71.17,43,0,9.71,LY,clear sky
46,Ucluelet,48.9329,-125.5528,64.71,88,66,3.0,CA,broken clouds
47,New Norfolk,-42.7826,147.0587,54.91,60,99,3.0,AU,overcast clouds
48,Manacapuru,-3.2997,-60.6206,83.14,60,88,3.91,BR,overcast clouds
49,Jizan,17.3333,42.6667,85.71,68,40,2.39,SA,scattered clouds
50,Kardla,58.9978,22.7492,55.06,87,100,18.57,EE,overcast clouds
51,Varkaus,62.3153,27.873,50.31,98,100,10.13,FI,overcast clouds
52,Muroto,33.2833,134.15,69.13,68,99,19.01,JP,overcast clouds
53,Gaborone,-24.6545,25.9086,73.31,46,0,9.22,BW,clear sky
54,Andenes,69.3143,16.1194,46.38,15,100,19.57,NO,overcast clouds
55,Tuktoyaktuk,69.4541,-133.0374,34.86,91,100,12.84,CA,light snow
56,Angoche,-16.2325,39.9086,71.46,86,0,5.99,MZ,clear sky
57,Ahipara,-35.1667,173.1667,52.9,63,98,18.19,NZ,overcast clouds
58,Praya,14.9215,-23.5087,80.49,82,24,7.65,CV,few clouds
59,Tazovskiy,67.4667,78.7,32.83,86,100,4.88,RU,overcast clouds
60,Mount Gambier,-37.8333,140.7667,58.91,100,100,17.27,AU,overcast clouds
61,Tsaratanana,-16.7833,47.65,63.97,78,0,7.07,MG,clear sky
62,Bilibino,68.0546,166.4372,24.26,86,100,4.7,RU,overcast clouds
63,Guadalupe Y Calvo,26.1,-106.9667,56.37,83,19,2.82,MX,few clouds
64,Fort Nelson,58.8053,-122.7002,58.8,44,54,2.26,CA,broken clouds
65,Valdivia,-39.8142,-73.2459,50.09,98,100,8.39,CL,overcast clouds
66,San Patricio,28.017,-97.5169,82.54,47,44,12.17,US,scattered clouds
67,Bethel,41.3712,-73.414,60.19,88,100,3.0,US,overcast clouds
68,Dikson,73.5069,80.5464,30.13,81,96,10.65,RU,overcast clouds
69,Phan Thiet,10.9333,108.1,77.99,85,100,4.09,VN,overcast clouds
70,Pampa,35.5362,-100.9599,71.64,53,75,8.05,US,broken clouds
71,Dickinson,29.4608,-95.0513,83.12,66,20,9.22,US,few clouds
72,Aquiraz,-3.9014,-38.3911,80.19,84,13,14.88,BR,few clouds
73,Nemuro,43.3236,145.575,51.91,64,100,16.08,JP,overcast clouds
74,Mataura,-46.1927,168.8643,45.48,94,96,11.01,NZ,light rain
75,Jibuti,11.5,42.5,79.63,63,47,6.02,DJ,scattered clouds
76,Hue,16.4667,107.6,77.11,94,40,1.14,VN,light rain
77,Castro,-24.7911,-50.0119,61.75,91,100,6.8,BR,overcast clouds
78,Verkhnevilyuysk,63.4453,120.3167,29.05,95,100,8.43,RU,light snow
79,Luderitz,-26.6481,15.1594,54.27,78,7,15.84,NA,clear sky
80,Saint Anthony,45.0205,-93.218,68.83,73,0,4.61,US,clear sky
81,East London,-33.0153,27.9116,64.67,83,100,7.34,ZA,overcast clouds
82,Northam,51.0333,-4.2167,55.62,73,0,17.54,GB,clear sky
83,Tasiilaq,65.6145,-37.6368,32.16,53,75,5.41,GL,broken clouds
84,Police,53.5521,14.5718,56.53,89,27,12.73,PL,scattered clouds
85,Bangui,4.3612,18.555,71.29,96,97,0.67,CF,light rain
86,Barkot,30.8167,78.2,60.48,89,1,3.24,IN,clear sky
87,Lorengau,-2.0226,147.2712,85.71,68,71,12.97,PG,broken clouds
88,Urumqi,43.801,87.6005,41.95,61,0,2.24,CN,clear sky
89,Kasongo-Lunda,-6.4667,16.8167,67.66,96,88,1.3,CD,overcast clouds
90,Kloulklubed,7.0419,134.2556,84.7,73,85,9.13,PW,overcast clouds
