City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Butaritari,KI,82.09,few clouds,3.0707,172.7902,Isles Sunset Lodge
10,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Vaini,TO,76.12,moderate rain,-21.2,-175.2,Keleti Beach Resort
18,Dingle,PH,81.93,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
19,Atuona,PF,77.61,clear sky,-9.8,-139.0333,Villa Enata
20,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Salta,AR,82.99,clear sky,-24.7859,-65.4117,Hotel Alejandro I
26,Naze,JP,75.74,scattered clouds,28.3667,129.4833,Shishime Hotel
28,Alofi,NU,77.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
30,Las Varas,MX,87.28,broken clouds,21.1667,-105.1667,Casa Palapas
36,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
48,Manacapuru,BR,83.14,overcast clouds,-3.2997,-60.6206,Novo Hotel
49,Jizan,SA,85.71,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
58,Praya,CV,80.49,few clouds,14.9215,-23.5087,LT Aparthotel
66,San Patricio,US,82.54,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
69,Phan Thiet,VN,77.99,overcast clouds,10.9333,108.1,Hotel Saigon-PT
71,Dickinson,US,83.12,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
72,Aquiraz,BR,80.19,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
75,Jibuti,DJ,79.63,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
76,Hue,VN,77.11,light rain,16.4667,107.6,Saigon Morin Hotel
87,Lorengau,PG,85.71,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
90,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
95,Namatanai,PG,84.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
96,Palu,ID,80.98,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
98,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
103,Amuntai,ID,77.5,overcast clouds,-2.4177,115.2494,Hotel Balqis
104,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
106,Sabang,ID,79.92,overcast clouds,5.8933,95.3214,Hotel Citra
114,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
118,Santiago De Cuba,CU,80.71,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
121,Tessalit,ML,89.6,broken clouds,20.1986,1.0114,
122,Mabaruma,GY,75.29,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
127,Biak,ID,80.69,light rain,-0.9131,122.8766,Penginapan Kim
130,Eyl,SO,77.2,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
140,Mindelo,CV,80.02,overcast clouds,16.8901,-24.9804,Hotel Gaudi
141,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.0833,Scoop Guest House
143,Cockburn Town,TC,83.48,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
147,Bhayavadar,IN,76.17,scattered clouds,21.85,70.25,Ami pan
153,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
155,Khartoum,SD,87.03,scattered clouds,15.5518,32.5324,Hotel China
158,Belem De Sao Francisco,BR,81.63,scattered clouds,-8.7539,-38.9658,Village Hotel
160,Douentza,ML,87.84,broken clouds,14.9951,-2.9517,Ogomono Doumbo
161,Escarcega,MX,77.2,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
167,Sola,VU,80.55,broken clouds,-13.8833,167.55,Leumerus Bungalows
169,Maragogi,BR,76.01,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
173,Coral Springs,US,80.01,few clouds,26.2712,-80.2706,La Quinta Inn & Suites by Wyndham Coral Springs South
174,Bolitoc,PH,83.21,broken clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
176,Zhuhai,CN,83.98,few clouds,22.2769,113.5678,珠海粤财假日酒店
178,Itarema,BR,78.58,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
182,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
188,Ambunti,PG,81.52,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
189,Bac Lieu,VN,79.72,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
193,Sarangani,PH,83.93,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
194,Atambua,ID,80.06,overcast clouds,-9.1061,124.8925,Ros Muskanan
202,Kutum,SD,77.59,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
208,Saint George,US,88.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
213,Mahibadhoo,MV,80.87,overcast clouds,3.7833,72.9667,Omadhoo Inn
216,El Campo,US,82.69,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
219,Soke,ML,81.9,few clouds,13.598,-5.9386,
